Day       Time   Rank  Score       Time   Rank  Score
 25       >24h   3134      0       >24h   2142      0
 24   10:27:18   2799      0   11:07:20   1724      0
 23       >24h   3704      0       >24h   3559      0
 22   19:08:26   3490      0       >24h   2777      0
 21   18:30:34   2702      0       >24h   3755      0
 20   03:36:42   1119      0   05:49:08    917      0
 19   03:34:37   2205      0   05:16:25   1691      0
 18       >24h   3885      0       >24h   3340      0
 17   02:36:27   2229      0       >24h   6192      0
 16   04:13:33   3003      0   14:16:24   2627      0
 15   04:18:40   1525      0   04:42:09   1345      0
 14   11:56:33   3588      0   12:28:48   3071      0
 13   02:10:11   3147      0   06:41:40   3362      0
 12   02:51:41   3391      0   11:58:28   4348      0
 11   02:31:32   2715      0   02:44:37   2559      0
 10   02:32:39   2637      0   07:42:10   3073      0
  9   11:54:12   7045      0   11:56:52   6970      0
  8   04:47:35   6303      0   05:07:03   5733      0
  7   07:06:16   6840      0   07:35:05   3898      0
  6   04:25:58   6660      0   04:34:34   5599      0
  5   02:15:36   3529      0   02:41:28   3071      0
  4   02:12:37   6754      0   02:46:10   6285      0
  3   02:28:25   4301      0   02:38:47   3398      0
  2   02:21:51   5919      0   02:27:01   4937      0
  1   12:14:32  16630      0   12:23:17  14873      0
  
